"run_started_at","departure_key","filter_id","country","region","departure_date","return_date","nights","origin_scope","pax_profile","days_to_departure","offer_count","hotel_count","min_price","p10_price","p25_price","median_price","max_price","below_10000_count","below_8000_count","prev_min_price","prev_p10_price","prev_median_price","min_change_pct","p10_change_pct","median_change_pct","hotel_count_delta","common_hotel_count","avg_deal_score","mean_avg_delta_pct","hot_deal_count","good_deal_count","median_ta_rating","ta_rated_hotel_count","hot_score"
"2026-08-27T15:41:41+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","124.0","2.0","2.0","10127.0","10147.0","10177.0","10227.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-27T23:24:56+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","124.0","2.0","2.0","10127.0","10147.0","10177.0","10227.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-28T05:44:18+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10327.0","10327.0","10327.0","10327.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-28T05:44:18+0000","egipt|sharm-el-sheikh|2026-12-29|2027-01-05|7|Warszawa - Modlin|2+1","","egipt","sharm-el-sheikh","2026-12-29","2027-01-05","7.0","Warszawa - Modlin","2+1","123.0","1.0","1.0","9572.0","9572.0","9572.0","9572.0","9572.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.1","1.0","0.0"
"2026-08-28T06:04:42+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10327.0","10327.0","10327.0","10327.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"<<<<<<< Updated upstream","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-08-28T07:53:12+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10327.0","10327.0","10327.0","10327.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"=======","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-08-28T08:10:53+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10327.0","10327.0","10327.0","10327.0","10327.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
">>>>>>> Stashed changes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026-08-28T19:50:00+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","123.0","1.0","1.0","10507.0","10507.0","10507.0","10507.0","10507.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-28T19:50:00+0000","egipt|marsa-alam|2026-12-30|2027-01-06|7|Warszawa - Modlin|2+1","","egipt","marsa-alam","2026-12-30","2027-01-06","7.0","Warszawa - Modlin","2+1","124.0","11.0","11.0","9265.0","9356.0","9384.5","9929.0","10866.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","11.0","0.0"
"2026-08-29T02:39:21+0000","egipt|hurghada|2026-12-29|2027-01-05|7|Warszawa - Modlin|2+1","","egipt","hurghada","2026-12-29","2027-01-05","7.0","Warszawa - Modlin","2+1","122.0","1.0","1.0","10355.0","10355.0","10355.0","10355.0","10355.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","1.0","0.0"
"2026-08-29T02:39:21+0000","egipt|marsa-alam|2026-12-28|2027-01-04|7|Warszawa - Modlin|2+1","","egipt","marsa-alam","2026-12-28","2027-01-04","7.0","Warszawa - Modlin","2+1","121.0","1.0","1.0","10270.0","10270.0","10270.0","10270.0","10270.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-29T02:39:21+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","122.0","2.0","2.0","10267.0","10291.0","10327.0","10387.0","10507.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-29T02:39:21+0000","egipt|marsa-alam|2026-12-30|2027-01-06|7|Warszawa - Modlin|2+1","","egipt","marsa-alam","2026-12-30","2027-01-06","7.0","Warszawa - Modlin","2+1","123.0","10.0","10.0","9265.0","9346.9","9381.75","9984.0","10866.0","5.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.5","10.0","0.0"
"2026-08-29T06:51:21+0000","egipt|marsa-alam|2026-12-29|2027-01-05|7|Warszawa|2+1","","egipt","marsa-alam","2026-12-29","2027-01-05","7.0","Warszawa","2+1","122.0","2.0","2.0","10267.0","10291.0","10327.0","10387.0","10507.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","1.0","0.0"
"2026-08-29T06:51:21+0000","egipt|marsa-alam|2026-12-30|2027-01-06|7|Warszawa - Modlin|2+1","","egipt","marsa-alam","2026-12-30","2027-01-06","7.0","Warszawa - Modlin","2+1","123.0","12.0","12.0","9031.0","9319.0","9418.0","9900.0","10918.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.6","12.0","0.0"
"<<<<<<< Updated upstream","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
