"run_started_at","departure_key","filter_id","country","region","departure_date","return_date","nights","origin_scope","pax_profile","days_to_departure","offer_count","hotel_count","min_price","p10_price","p25_price","median_price","max_price","below_10000_count","below_8000_count","prev_min_price","prev_p10_price","prev_median_price","min_change_pct","p10_change_pct","median_change_pct","hotel_count_delta","common_hotel_count","avg_deal_score","mean_avg_delta_pct","hot_deal_count","good_deal_count","median_ta_rating","ta_rated_hotel_count","hot_score"
"2026-08-26T08:30:22+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T09:34:42+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T10:27:42+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T10:58:13+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T11:23:14+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T12:33:22+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T13:48:44+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T14:38:03+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T16:13:30+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
"2026-08-26T18:53:07+0000","egipt|dahab|2026-12-24|2026-12-31|7|Warszawa|2+1","filter_egypt_ny_dec24_2026_7_10_days","egipt","dahab","2026-12-24","2026-12-31","7.0","Warszawa","2+1","120.0","2.0","2.0","9936.0","10010.5","10122.25","10308.5","10681.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.4","2.0","0.0"
